Country_Name,Country_Code,Percent
Fiji,FJI,16.83371854
France,FRA,9.717344694
Faroe Islands,FRO,17.36275178
"Micronesia, Fed. Sts.",FSM,18.17393414
Gabon,GAB,15.12352657
United Kingdom,GBR,13.34479971
Georgia,GEO,12.95149994
Ghana,GHA,18.59816933
Gibraltar,GIB,
Guinea,GIN,14.87124852
"Gambia, The",GMB,11.35991955
Guinea-Bissau,GNB,
Equatorial Guinea,GNQ,
Greece,GRC,7.417498969
Grenada,GRD,
Greenland,GRL,17.55579948
Guatemala,GTM,23.75538635
Guam,GUM,
Guyana,GUY,16.32196449
High income,HIC,11.75439654
"Hong Kong SAR, China",HKG,2.621594177
Honduras,HND,24.59828949
Heavily indebted poor countries (HIPC),HPC,17.25664415
Croatia,HRV,8.679536438
Haiti,HTI,14.64414244
Hungary,HUN,1.842895578
IBRD only,IBD,14.74662971
IDA & IBRD total,IBT,15.39999962
IDA total,IDA,15.88862377
IDA blend,IDB,16.23297977
Indonesia,IDN,19.15281514
IDA only,IDX,15.88862377
Isle of Man,IMN,
India,IND,16.72864914
Not classified,INX,
Ireland,IRL,13.32429276
"Iran, Islamic Rep.",IRN,23.13994262
Iraq,IRQ,
Iceland,ISL,17.24921989
Israel,ISR,15.52122272
Italy,ITA,8.795741276
Jamaica,JAM,18.58399963
Jordan,JOR,9.859749795
Japan,JPN,
Kazakhstan,KAZ,14.19534489
Kenya,KEN,19.35195823
Kyrgyz Republic,KGZ,16.79593448
Cambodia,KHM,11.82999992
Kiribati,KIR,2.177613973
St. Kitts and Nevis,KNA,13.52999973
"Korea, Rep.",KOR,
Kuwait,KWT,12.82629967
Latin America & Caribbean (excluding high income),LAC,17.31398964
Lao PDR,LAO,
Lebanon,LBN,9.898289685
Liberia,LBR,8.147789955
Libya,LBY,
St. Lucia,LCA,14.46759332
Latin America & Caribbean,LCN,16.36314823
Least developed countries: UN classification,LDC,14.64414244
Low income,LIC,15.85888295
Liechtenstein,LIE,
Sri Lanka,LKA,11.33919227
Lower middle income,LMC,16.98699356
Low & middle income,LMY,15.82935471
Lesotho,LSO,14.12979984
Late-demographic dividend,LTE,13.65982437
Lithuania,LTU,11.74273147
Luxembourg,LUX,8.658579826
Latvia,LVA,11.14759575
"Macao SAR, China",MAC,16.59794998
St. Martin (French part),MAF,
Morocco,MAR,16.86827726
Monaco,MCO,5.292717212
Moldova,MDA,19.46438264
Madagascar,MDG,19.81848478
Maldives,MDV,12.55951648
Middle East & North Africa,MEA,13.77495275
Mexico,MEX,16.57785342
Marshall Islands,MHL,24.89999466
Middle income,MIC,15.68711243
North Macedonia,MKD,
Mali,MLI,15.95777512
Malta,MLT,
Myanmar,MMR,1.564129829
Middle East & North Africa (excluding high income),MNA,14.46348
Montenegro,MNE,
Mongolia,MNG,2.483357538
Northern Mariana Islands,MNP,
Mozambique,MOZ,19.33679962
Mauritania,MRT,1.228197144
Mauritius,MUS,19.27433139
Malawi,MWI,15.82935471
Malaysia,MYS,19.64325948
North America,NAC,13.14618153
Namibia,NAM,26.39399933
New Caledonia,NCL,
Niger,NER,16.33996964
Nigeria,NGA,5.944551945
Nicaragua,NIC,23.9576294
Netherlands,NLD,12.91154957
Norway,NOR,15.91753598
Nepal,NPL,15.76228882
Nauru,NRU,9.823686188
New Zealand,NZL,16.82961288
OECD members,OED,12.42586994
Oman,OMN,12.69789982
Other small states,OSS,14.75653448
Pakistan,PAK,11.59167957
Panama,PAN,11.97529556
Peru,PER,17.87413979
Philippines,PHL,17.48324128
Palau,PLW,15.93351758
Papua New Guinea,PNG,9.227137231
Poland,POL,11.99291134
Pre-demographic dividend,PRE,16.11419249
Puerto Rico,PRI,19.43918374
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,1.812635614
Paraguay,PRY,11.96582853
West Bank and Gaza,PSE,17.78866494
Pacific island small states,PSS,
Post-demographic dividend,PST,12.21549988
French Polynesia,PYF,
Qatar,QAT,9.319164614
Romania,ROU,1.469638818
Russian Federation,RUS,14.34179712
Rwanda,RWA,11.31956482
South Asia,SAS,12.51737499
Saudi Arabia,SAU,19.36757828
Sudan,SDN,12.47558215
Senegal,SEN,22.62783825
Singapore,SGP,2.785369873
Solomon Islands,SLB,31.88999939
Sierra Leone,SLE,35.58288574
El Salvador,SLV,18.13214162
San Marino,SMR,15.59923197
Somalia,SOM,4.412382186
Serbia,SRB,8.842828167
Sub-Saharan Africa (excluding high income),SSA,17.1187192
South Sudan,SSD,0.867324529
Sub-Saharan Africa,SSF,17.1187192
Small states,SST,14.75653448
Sao Tome and Principe,STP,2.116549881
Suriname,SUR,15.27698994
Slovak Republic,SVK,9.52713127
Slovenia,SVN,11.33996964
Sweden,SWE,15.66719845
Eswatini,SWZ,18.51228882
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,11.82717999
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,13.74713924
Chad,TCD,15.12629321
East Asia & Pacific (IDA & IBRD countries),TEA,14.49953445
Europe & Central Asia (IDA & IBRD countries),TEC,13.43351758
Togo,TGO,21.76996525
Thailand,THA,14.49953445
Tajikistan,TJK,19.91269327
Turkmenistan,TKM,27.99839973
Latin America & the Caribbean (IDA & IBRD countries),TLA,16.57785342
Timor-Leste,TLS,7.881289959
Middle East & North Africa (IDA & IBRD countries),TMN,13.51741695
Tonga,TON,15.52814685
South Asia (IDA & IBRD),TSA,12.51737499
Sub-Saharan Africa (IDA & IBRD countries),TSS,17.1187192
Trinidad and Tobago,TTO,11.76794669
Tunisia,TUN,
Turkiye,TUR,12.42586994
Tuvalu,TUV,
Tanzania,TZA,2.549432959
Uganda,UGA,11.47267288
Ukraine,UKR,13.15972996
Upper middle income,UMC,15.25519371
Uruguay,URY,16.36347961
United States,USA,13.14618153
Uzbekistan,UZB,25.59158516
St. Vincent and the Grenadines,VCT,19.12639999
"Venezuela, RB",VEN,
British Virgin Islands,VGB,13.99639343
Virgin Islands (U.S.),VIR,
Vietnam,VNM,16.98699356
Vanuatu,VUT,5.588349819
World,WLD,14.13446449
Samoa,WSM,16.21499616
Kosovo,XKX,
"Yemen, Rep.",YEM,
South Africa,ZAF,19.59622955
Zambia,ZMB,17.1187192
Zimbabwe,ZWE,19.39846982
